CODID,SMILE,bgs
2007240,c1ccc2c(c1)oc(n2)c1nc2c(o1)cccc2,2.76
7154627,Brc1c(c(c2ccccc2)c(O)cc1Br)C(=O)OC,3.26
4076914,[Cr]12345(SC(=[S]1)N(CC)CC)(C#[O])(C#[O])[cH]1[cH]2[cH]3[cH]4[cH]51,1.98
2103897,O=C(NC(=O)NCC)CCC(C)C,4.31
2103872,O=Nc1c(nc(nc1OCc1ccccc1)N)Nc1ccccc1,1.33
4022736,CC(OC(=O)NNC1(/C(=N/Nc2ccc(N(=O)=O)cc2)CCC1)C(=O)OC(C)(C)C)(C)C,1.58
4020649,S(=O)(C(C)(C)C)N=Cc1cc(C(F)(F)F)ccc1N1CCN(CC1)C(=O)OC(C)(C)C,2.38
2003112,NC(=O)N,5.15
2100177,NC(=O)CN1CCCC1=O,4.38
1542454,c1(ccc(cn1)C)Br,3.8
4505018,[NH3+][C@H]1[C@H](CCCCC1)C(=O)[O-].[NH3+][C@@H]1[C@@H](CCCCC1)C(=O)[O-],4.85
2007062,O1C(C(OC(=O)C)Cc2cc(c(OC(=O)C)cc12)C(=O)C)(C)C,3.02
4023320,O(n1c2cc(C)ccc2c(C#N)c1C)C,3.29
4104878,n1ccccc1c1c(Cl)ccc2ccccc12,3.02
7151742,O=C1O[C@H]2[C@H](O[C@@H](C2)COCc2ccccc2)C1,4.23
7218924,OC(=O)\C(=C/Nc1ccccc1)C(=O)OCC,2.86
2200041,O1[C@H]([C@@H]2C(=O)NCCc3c4c2c1ccc4[nH]c3)c1ccc(O)c(OC)c1,3.04
7205616,C1(=O)[C@H]2c3ccccc3[C@@H](N1)[C@@H]1C(=O)N[C@H]2c2c1cccc2.O=C(O)C.O=C(O)C,3.82
2236039,I[C@]12C[C@@H]3C[C@H](C1)C[C@]1([C@@]42C[C@@H]2C[C@H](C4)C[C@]1(C2)I)C3,3.46
7151226,c1ccccc1/C=C/[C@H](OC(=O)Nc1ccc(I)cc1)C,3.01
7152021,BrC1=C[C@H]([C@@H]2[C@H]([C@H]1NC(=O)C)C(=O)N(C2=O)C)C.BrC1=C[C@@H]([C@H]2[C@@H]([C@@H]1NC(=O)C)C(=O)N(C2=O)C)C,3.81
7150918,n1(c2c3c(n(c4c3cccc4)C)c(c(c3ccccc3)c2c2c1cccc2)c1ccccc1)C,2.78
7151237,s1ncc2c1n(OC)c1c2ccc(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)c1,3.32
2227938,O1C(=O)NC(NC(=O)N)c2ccccc12.O,4.17
4027168,C1(=O)[C@@H]([C@H]2[C@@H](C[C@@H](CN2C(=O)OCc2ccccc2)C)O1)C,4.63
4502684,O=C(N)c1c(OCC)cccc1.O=C(O)c1cc(N(=O)=O)cc(c1)N(=O)=O,1.8
2001243,O=C1C(O)(C(=C(C(=C1C(=O)CCc1ccccc1)O)C)O)C,2.84
7221141,OCc1nnn(c1)CC(=O)OCC,4.72
2220442,n1[nH]c(nc1c1ncccc1)N,2.77
7150537,[Fe]12345678([c]9([cH]4[cH]3[cH]2[cH]19)[C@@H]1OC(=O)[C@](N1C(=O)C(C)(C)C)(CC=C)CC)[cH]1[cH]5[cH]6[cH]7[cH]81.[Fe]12345678([c]9([cH]4[cH]3[cH]2[cH]19)[C@H]1OC(=O)[C@@](N1C(=O)C(C)(C)C)(CC=C)CC)[cH]1[cH]5[cH]6[cH]7[cH]81,2.76
4503129,C(=O)(N)N.C1(=O)NCCN1,5.03
4020341,O1C(=O)[C@H]2[C@@H]([C@@H](C=C[C@@H]2C1)C)C.O1C(=O)[C@@H]2[C@H]([C@H](C=C[C@H]2C1)C)C,4.83
7213019,[Si]1(C)(C)[Si](C)(C)C#CCCC#C1,4.37
4101230,O=C1[C@@H]([C@H]2O[C@H]([C@H]3[C@@H]2C3/C=C\CC(=O)OC(C)(C)C)[C@@H]1C)C,3.89
2001187,N#CC(=C/c1ccc(cc1OC)OC)/N=C(c1ccccc1)c1ccccc1,2.05
2015025,c1(C)n(c2c(nc(C)[nH]2)N(=O)=O)cc(n1)N(=O)=O.O,2.6
1506494,I/C=C(C)/[C@H](O)[C@H]1OC(=O)C(=C1)Br.I/C=C(C)/[C@@H](O)[C@@H]1OC(=O)C(=C1)Br,2.82
7218087,O1/C(=C\c2ccccc2)c2ccccc2C1=O,2.3
2014575,ClCC(=O)OCCCCOC(=O)CCl,5.42
4320095,[Sb]1(N=N#N)N(C(C)(C)C)[Sb](N=N#N)N1C(C)(C)C,2.6
4122844,[C]12345[CH]678[BH]9%102[B]2%113(C(=C(OC1=O)c1ccccc1)CC)[BH]134[BH]456[BH]563[BH]3%111[BH]1%102[BH]279[BH]845[BH]6312,3.51
1513536,O(C(C)(C)C)C(=O)N[C@H]([C@H](O)CC(=O)OCC)Cc1ccccc1,4.37
4022990,O1[C@H]2OC(=O)C[C@H]2[C@@H]2[C@H]1C2,4.79
4121699,O=C1[C@H]([C@@H]2N(c3c([C@@]2(C1(C)C)C)cccc3)Cc1ccccc1)c1ccccc1.O=C1[C@@H]([C@H]2N(c3c([C@]2(C1(C)C)C)cccc3)Cc1ccccc1)c1ccccc1,2.57
1515707,N#Cc1c2ccccc2c(c2c1cccc2)C#N,1.52
4079320,[Ru]12([P]34OCC(O3)(CO4)C)([N]#CC)([n]3n(ccc3)[BH](n3[n]1ccc3)n1[n]2ccc1)c1ccccc1.ClCCl,3.0
7109239,s1c(C)cc(c2cc(sc2)C)c1,3.25
1505620,CC(C1=CC(=O)C(=CC1=O)C(C)(C)C)(C)C,1.45
1520244,C(=O)([C@H]([C@@H](C(=O)[O-])O)O)[O-].C[NH+](CC[NH+](C)C)C.O.O.O.C(=O)([C@@H]([C@H](C(=O)[O-])O)O)[O-].C[NH+](CC[NH+](C)C)C.O.O.O,4.5
4121986,O=C1N2C(=O)[C@H]3[C@]1(c1ccccc1)[C@H](C3)COc1c2c(ccc1)C,3.87
2203452,c1ccc(cc1)COc1ccc(cc1)OCc1ccccc1,3.05
4078909,N(C[C]123[BH]456[BH]789[BH]%10%114[BH]4%127[BH]7%138[BH]159[CH]27[BH]4%13[BH]1%10%12[H][BH]36%111)C(=[NH2+])N,4.18
4313411,P(Nc1c(cccc1)C#N)(c1ccccc1)c1ccccc1,2.92
1506878,O=C1N[C@H]2C(=O)N[C@@H]1CC=CC2,4.6
2013516,O(c1ccc(N(=O)=O)cc1)CC(=O)N1C(=O)CCC1,2.56
4020526,Clc1cc(C(c2c(OC)cc(OC)c(Cl)c2)c2ccccc2)c(OC)cc1OC,3.28
2225449,[O-]C(=O)[C@H]1NC(=O)[C@@H](C1)[NH3+],4.8
4028221,CNC1=C(C(=O)c2ccncc2C1=O)Cl,1.35
1502472,S(=O)(=O)(C1(S(=O)(=O)c2ccccc2)[C@@H]2[C@@](OC)(C=CC(=O)C2)c2c(C1)cccc2)c1ccccc1,2.72
2206049,c1c(C(=O)O)cc(cc1C(=O)O)C(=O)O.O.O,2.47
4080612,[Ge]([Ge](C(C)(C)C)(C)C)(c1ccccc1)(c1ccccc1)c1ccccc1,3.83
1542703,S(F)(F)(F)(F)(F)[C@H](C(=O)OCc1ccccc1)[C@@H](O)c1ccccc1.S(F)(F)(F)(F)(F)[C@@H](C(=O)OCc1ccccc1)[C@H](O)c1ccccc1,3.47
2233170,c1c(c2cccc(c2[nH]1)C)CC#N,3.65
7207803,O=C1NC2(C(=O)N1)CCC(OC(=O)c1cc(OC)c(OC)cc1)CC2,3.29
2207835,O=N(=O)c1ccnc2nc[nH]c12,2.51
2203360,c1(nc(nc([nH+]1)N)N)N.c1(ccc(cc1)C(=O)[O-])C(=O)[O-].O.c1(nc(nc([nH+]1)N)N)N.O,3.45
4027132,o1c2cc(N(CC)CC)ccc2c2c(c1=O)c(nc1n(nc(c21)c1ccccc1)c1ccccc1)C,2.12
2100178,NC(=O)CN1CCCC1=O,4.38
4502681,O=C(O)c1cc(N(=O)=O)cc(N(=O)=O)c1.O(c1c(C(=O)N)cccc1)CC,1.76
4325060,Oc1c(cc(cc1N(=O)=O)C(C)(C)CC(C)(C)C)/C=N/O,2.07
2200616,CC1=CCC(=CC1)C(C)C,4.3
4063576,[B]123=[CH]4[Y]56789%10%11%12%133([CH]1=[CH]%10[CH]%11=[CH]4%13)([CH]1=[CH]5[BH]6=[CH]%12[CH]7=[CH]81)([Cl][Y]1345678%10%11%12%13([B]%14(=[CH]3[CH]%10=[CH]%11[CH]%12=[CH]1%14)N(C=[N]7C(C)C)C(C)C)([BH]1=[CH]8[CH]6=[CH]5[CH]4=[CH]1%13)[Cl]9)N(C=[N]2C(C)C)C(C)C,2.88
4064074,[Si]12([Si]([Si]([Si]([Si]1(C)C)([Si](C)(C)C[Si]2(C)C)C)(C)C)(C)C)[Si](C)(C)C,3.91
1504378,ICCl,3.21
1502933,c1ccccc1C1C(=O)OC(C2CCCCC2)N=1=O,2.65
8100545,O(C1=CC2=CC[C@@H]3[C@@H]([C@]2(CC1)C)CC[C@]1([C@H]3CCC1=O)C)CC,3.1
2212686,BrCc1ccc(cc1)C(=O)OC,3.43
2212429,O[C@@H]1[C@H]([C@@H](CC=C1C)C(=C)C)CCO,4.69
4026434,O1c2c(N3C(=N[C@@]4([C@H]3c3c(C4)cccc3)c3ccccc3)c3c1cccc3)cccc2.O1c2c(N3C(=N[C@]4([C@@H]3c3c(C4)cccc3)c3ccccc3)c3c1cccc3)cccc2,2.83
2016514,O=C(OCC)/C(=C/c1c(nc(nc1N(C)C)N)N(C)C)C#N,2.33
4023378,O=C1N(C(C1Oc1ccccc1)=COc1ccccc1)c1ccc(cc1)C,3.15
7015028,c1(c(C)cc(cc1CN1CCN(Cc2c(c(cc(c2)C)C)O)CC1)C)O,3.82
4123678,[Se]1P([Se]c2cccc3cccc1c23)C(C)C,2.17
7224728,c1cc(cc[nH+]1)c1cc[nH+]cc1.[Br-].[Br-],0.927
4028372,O=C1c2ccccc2C(=O)[C@]23[C@@H]4C=C[C@H]([C@]12C1(CC1)C13CC1)CC4,2.34
2220615,C(=N\C/C(=C\c1ccccc1)C(=O)OC)/c1cc(N(=O)=O)ccc1,2.0
4021609,N(C(=O)[C@@H](N=C1C(=C(C(=O)O1)C)CC(C)C)Cc1ccccc1)C,2.66
2236488,O1[C@H]([C@@H]([C@H]([C@@H]1c1ccc(O)cc1)C)C)c1ccc(O)cc1,3.86
7152168,O=C(N1CC[C@H]([C@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)NC)c1ccccc1)C(C)(C)C,4.06
7224883,[C@@H]1([C@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O,5.58
2218346,c1(ccccc1)C(=O)COC(=O)c1ccncc1,3.03
4065355,C1[C]2(=[CH](c3ccccc3)[WH]345612([c]1([c]3([c]4([c]5([c]61C)C)C)C)C)N=O)C1C=CCCC1,2.81
4024574,C(=O)([C@H](O)[C@@H](O)C(=O)Oc1ccccc1)Oc1ccccc1,4.3
1503589,Clc1c(C(O)c2c(c3nc4ccccc4cc3)cccc2)ccc(N(=O)=O)c1,1.86
2104607,N12[C@@H](CO[C@H]1[C@@H](C2=O)C)c1ccccc1,4.26
1504351,C(C)(Cl)Cl,5.34
1501688,[NH3+]CC.[Cl-],5.55
2202276,c1(ccccc1)C(=O)N[C@H]1[C@H](OC(=O)C1)C,3.93
1505648,[C@](O)(C(F)(F)F)(CN)c1ccccc1,4.36
1503982,C1(CC[C@H](CN=1=O)O)N,3.63
1529260,O(C1=C(CC[C@@]1([C@@H]1OC(=O)C=C1)C)c1ccccc1)C.O(C1=C(CC[C@]1([C@H]1OC(=O)C=C1)C)c1ccccc1)C,2.5
8102132,n1ccc(cc1)c1ccncc1.O(c1ccc(cc1)C(=O)O)CCOc1ccc(cc1)C(=O)O,3.15
7052023,c1(cc(c(cc1)N=Nc1ccc(c(c1)N(=O)=O)NC(CO)CO)N(=O)=O)N(=O)=O.CC(=O)C,1.12
2000799,C1OC[C@@H]([C@@H](CO1)O)NC(=O)C.C1OC[C@H]([C@H](CO1)O)NC(=O)C,5.23
4030655,n1cn(c(c1N(=O)=O)c1cc(N(=O)=O)ccc1)CCc1ccccc1,2.36
1505894,O[C@@H]1[C@H](C[C@@](O[Si](C(C)(C)C)(C)C)([C@H]1C=C)CO)C,4.85
7214434,CC(C)(C)S(Cc1ccc(CS(C(C)(C)C)=O)cc1)=O,3.64
7202788,O=C(N[C@H](C(=O)OCC#C)C)[C@H]([N]#[C])C,4.83
7154971,Brc1cc(Br)c2c(nccc2)c1NC(=O)c1ccccc1,2.78
4028465,O=C(Nc1ncccc1)NCCCC,3.44
4064908,C1(N(C=CN1CN1C(N(C=C1)C)=[Au](Br)(Br)Br)C)=[Au](Br)(Br)Br,1.98
4083218,[W](C#[O])(C#[O])(C#[O])(C#[O])(C#[O])[PH](C)Nc1c(C(C)C)cccc1C(C)C,3.22
4082792,[Ru]12345(Cl)(Cl)([n]6cn(CC(OCc7c(Cl)scc7)c7ccc(Cl)cc7Cl)cc6)[cH]6[cH]5[c]4([cH]2[cH]3[c]16C(C)C)C,2.57
4020987,N(c1ncccc1)(c1ncccc1)c1ccc(cc1)C#N,2.67
7215749,c1(ccccc1n1cc(CO)nn1)O,3.21
7150128,O1c2c(OCCOCCOCCOc3c(OCCOCCOCC1)ccc(c3)COc1ccccc1)cccc2,3.56
4084665,[Ru]123456(C#[O])([CH2]=[C]1([C]2(=[CH2]3)C)C)[CH]1=[C]4C[C@@H]2[CH]5=[CH]6C[C@H]1C2.[Ru]123456(C#[O])([CH2]=[C]1([C]2(=[CH2]3)C)C)[CH]1=[C]4C[C@H]2[CH]5=[CH]6C[C@@H]1C2,3.51
7005528,c1(c2ccccc2)cc(c(cc1c1ccccc1)c1ccccc1)c1ccccc1,3.14
1518274,c1(ccc(cc1)C)S(=O)(=O)N1C(=O)[C@H](C[C@H]1CO[Si](C)(C)C(C)(C)C)Br,3.74
7112509,[nH]1c(=O)c(c(c(c1)c1ccc(cc1)OC)OC)C(=O)OCC,2.99
2218876,O=Cc1[nH]c(/C=N/c2c(/N=C(c3c(O)ccc(c3)C)\c3ccccc3)cccc2)cc1,1.99
1517162,Ic1ccc(N2C(=O)C=C/C2=C\CCC)cc1,2.37
7150807,O=C1N(C=C(C(=O)N1)C)C[C@@H](O)[C@H](O)CN1C(=O)NC(=O)C(=C1)C.S(=O)(C)C.O.O,3.3
4030960,Brc1c(c2ccccc2c2c1C=C1C(O2)(C(=O)c2ccccc2C1=O)C)OC,1.64
1503768,S(c1oc2ccccc2n1)Cc1ccccc1,3.49
4123507,O1C(=O)[C@@H]([C@@H](OC)[C@H](C[C@H]([C@H](O)C=C[C@H]([C@H]1CC)C)C)C)C,4.41
4082788,[Fe]12345678([cH]9[cH]1[cH]2[cH]3[cH]49)[c]1([cH]5[cH]6[cH]7[cH]81)NC(=S)C,2.52
4023450,O(c1cc(/C(=C/C#N)c2cc(cc(c2)C)C)ccc1OC)C,2.24
7206737,C(=O)(c1ccccc1)c1ccc(N)cc1,2.13
4504971,[O-]C(=O)C[NH3+],5.11
4025617,O=N(=O)c1c(c(F)c(F)c(F)c1F)c1ccc(cc1)c1ccccc1,1.84
7019106,c1cccc(C(=N\NC(=S)SC)\C)n1,2.28
1505189,n1ccc(cc1)CCc1ccncc1.N#Cc1cccc(c1)O.N#Cc1cccc(c1)O,3.35
2211746,OC(=O)C(=O)[O-].[NH2+](CC)CC,3.31
2218770,n1ccc(cc1)SCc1ccc(cc1)CSc1ccncc1,3.38
4070825,[Ga](c1ccccc1)(c1ccccc1)C,3.45
2240173,O=C1N(OC(=O)OC)C(=O)c2c1cccc2,2.92
7205765,c1(ccccc1)C(=O)[O-].C1(CCCCCCC1)[NH3+],3.65
2001657,C[C@@H]1NC(=O)O[C@H]1c1ccccc1,4.4
2238233,COc1c(OC)c(O)c(c2c1oc(cc2=O)c1ccccc1)O,2.36
2010832,O=C([O-])[C@@H](NC(=O)C)[C@H](O)C.[NH3+]C,4.81
7100406,O=C1Nc2ccccc2[C@]21O[C@@]1(O[C@]2(CCC1)C(=O)C)C.O=C1Nc2ccccc2[C@@]21O[C@]1(O[C@@]2(CCC1)C(=O)C)C,3.04
4020683,O1[C@H]2[C@@H](OC1(C)C)C=CCC[C@H](O)C(=O)O[C@@H]2CCC,4.3
7214735,S1(=O)(=O)CC(=O)CCC1,3.81
2223524,O1C(=O)NC(=CC1=O)C,3.69
8102456,c1c(/C=C/N(=O)=O)ccc(c1)O,2.03
1502464,O=C(N/C=N/OC)c1ncccc1,2.52
4063561,[B](c1c(cccc1)[P](c1ccccc1)(c1ccccc1)[Pd](C)[n]1c(cc(cc1C)C)C)(F)(F)F,2.96
1507075,O=N(=O)c1ccc(N/N=C/[C@@](CC)(C)[C@@H](c2ccccc2)CN(=O)=O)c(N(=O)=O)c1.O=N(=O)c1ccc(N/N=C/[C@](CC)(C)[C@H](c2ccccc2)CN(=O)=O)c(N(=O)=O)c1,2.13
4061688,[c]123[cH]4[cH]5[cH]6[cH]1[Ti]173456([N](CC2)(C)C)(O[Ti]234567([c]7([cH]2[cH]3[cH]4[cH]57)CC[N]6(C)C)(O1)Cl)Cl,2.5
2225863,s1cccc1C1=NCCN=C1c1sccc1,2.34
4028583,c1(nc(c2ccccc2n1)OS(=O)(=O)c1ccc(cc1)C)SC,2.63
2222571,n1n(ncc1C(=O)OC)C,4.41
7034471,C(=N([O-])=O)N(=O)=O.N[NH3+],2.53
7155005,P1(=O)(O/C(=C(c2ccccc2)\c2nc3c(cc2C)cccc3)c2ccccc2)OCC(CO1)(C)C,2.83
2105571,C1(=O)OC(O)Cc2ccccc12,3.48
4072291,c1(N)ncc(P(c2ccccc2)c2ccccc2)s1,3.11
1506469,O=C(OC)c1cc(c(c(c1)c1ccccc1)C(=C)C(=O)OC)c1ccccc1,3.14
7053193,[nH]1c2=C(c3nc(=C(c4[nH]c(C(=c5nc(C(=c1cc2)c1ccncc1)cc5)c1ccc(cc1)O[C@@H](CC)C)cc4)c1ccncc1)cc3)c1ccc(cc1)O[C@@H](CC)C,1.44
7105526,c1nc(c2c3n1C=CC[n+]3cn2)N.N(=O)(=O)[O-],2.12
2220255,O=C(N/N=C/c1ccc(cc1)C)c1ccc(N(=O)=O)cc1.O,1.86
7000101,[GaH2]1[NH](C)[GaH2][NH](C)[GaH2][NH]1C,5.02
4510383,P(=O)(OC)(OC)c1c(c2ccccc2cc1)c1c(cccc1)C=O,2.82
7150068,[C@@]1([C@@](C)(O[C@@H]([C@H](C(=O)N(CCC)CCC)O1)C(=O)OC)OC)(C)OC,4.56
1502615,c1(=O)c(c(c2ccccc2n1CCC)C)C(=O)N(CC=C)CC=C,2.93
1502560,O=C1O[C@@H]2[C@@H]3O[C@]13CC[C@H](CC(=O)C[C@@H]1O[C@](C2)(CC1=O)C)C(=C)C.O=C1O[C@H]2[C@H]3O[C@@]13CC[C@@H](CC(=O)C[C@H]1O[C@@](C2)(CC1=O)C)C(=C)C,3.41
7154717,Brc1cc2OCOc2cc1C1=c2[n]([B](F)(F)n3c1ccc3)ccc2,1.46
7205402,C(C)(Cl)(Cl)Cl,4.57
7154811,Cl[C@H](C)CN(Cc1ccccc1)Cc1ccccc1,3.45
2011526,c1(c2c(cc3c1cccc3)cccc2)C=C,2.07
4060920,[Ru]12([n]3[n]([BH]([n]4[n]1ccc4)[n]1[n]2ccc1)ccc3)(C#[O])(C#[O])c1ccc(cc1)C,3.34
7053637,O=N(=O)c1cc(ccc1)C(O)Nn1cnnc1,2.25
1504486,O[C@@]12CCCC[C@H]1CC=C[C@H]2c1ccccc1.O[C@]12CCCC[C@@H]1CC=C[C@@H]2c1ccccc1,4.24
7202391,Cc1c(cccc1)C(=O)O,3.63
4110073,O(N1[C@@H]([C@@H](OC(=O)C(C)(C)C)CCC1=O)CC=C)Cc1ccccc1.O(N1[C@H]([C@H](OC(=O)C(C)(C)C)CCC1=O)CC=C)Cc1ccccc1,3.98
4025034,O1C(OC(=O)\C(=C2CCc3cc(ccc/23)Cl)C1=O)(C)C,2.47
4507987,C(=O)(C(=O)O)O,3.19
7115466,Oc1c(cc(c2ccccc2N(=O)=O)cc1)C,1.94
7151861,O=C1O[C@@H]([C@H](C1)C(OC)OC)[C@@]1(O[C@H](OC)C=C1)OC,4.49
4025806,c12cccc(OCCCC)c1cccc2OCCCC,2.99
2241309,[B]1(=CC=CC=C1)[n]1c(cccc1C)C,1.78
4124208,n1(c([BH](C#N)C#N)[n+](cc1)C)C,4.71
7206390,c1c(cc(OCCCCCCCC)c(/C=N/C(=C(C#N)/N=C/c2ccc(cc2OCCCCCCCC)N(CC)CC)C#N)c1)N(CC)CC,1.35
7153052,[n+]12ccccc1[nH]cc2c1ccccc1.[Cl-].O.O,2.93
2103895,O=C(NC(=O)NCC)CCC(C)C,4.29
7151708,O1c2c(cccc2)[C@H]([C@H](C1=O)CC)CN(=O)=O,2.3
1507883,S1C2N3CC(=O)NC3=C(C#N)C(C=2C(=O)c2c1cc(SC)cc2)c1ccc(OC)cc1,2.33
2225048,O.O[C@]1([C@](O)(C(=O)c2ccccc12)CC=C(C)C)C(=O)O,2.82
2201187,C1(=O)c2ccccc2C(=O)N1[C@H](C)C(=O)N[C@H](Cc1ccccc1)C(=O)OC,2.61
2010339,COC(=O)C12C3C4C2C2C1C3C42C(=O)OC,4.41
7154217,S(C1=c2[n]([B](n3c1ccc3Sc1ccccc1)(F)F)ccc2)c1ccccc1,1.48
2215635,O=C1N(C(=O)c2c3c1cc(N(=O)=O)c(NCCO)c3ccc2)CCO,1.87
1502303,S1C2=C(C(C(=C1SC)C(=O)c1ccccc1)c1ccc(F)cc1)C(=O)CCC2,2.39
7214489,C(=C\C(=O)O)/C(=O)O.C(=O)(NC)N.C(=O)(NC)N,2.98
7152138,C1=CC(=O)[C@@]2([C@H]3C=C[C@H]([C@](C3)(C#N)Cl)N12)CCC=C.C1=CC(=O)[C@]2([C@@H]3C=C[C@@H]([C@@](C3)(C#N)Cl)N12)CCC=C,2.92
4323279,CC1=[O][Ni]2(OC(=C1C)C)OC(=C(C(=[O]2)C)C)C,1.59
2220697,[nH]1c(=O)c2ccccc2cc1c1ccccc1,2.71
1507737,[C@]1(CC[C@@H]([C@H]1CC(=O)OCC)C)(C#N)S(=O)(=O)c1ccccc1.[C@@]1(CC[C@H]([C@@H]1CC(=O)OCC)C)(C#N)S(=O)(=O)c1ccccc1,3.96
1518350,O=C1NC(=O)C(=N[O-])C(=O)N1.O.O.[NH2+]=C(c1ccc(N)cc1)N,1.4
1502436,S(c1ccc(OC)cc1)[C@@H](NC(=O)c1ccccc1)c1ccccc1,3.08
8102458,c1(c(c2ccc(cc2)OC)[nH]nn1)C#N,2.83
4070048,[Si](C[C@](C(=O)OC(C)(C)C)(C(=O)O)C)(C)(C)C,4.77
2226346,c12ccccc1[nH]c1c2CCN(C1=O)C(=O)c1ccccc1NC,2.05
1516262,N1(CCN(C)C1=NC1=C(C1=[N+](C(C)C)C(C)C)N(C(C)C)C(C)C)C.[Au](Cl)(Cl)(Cl)[Cl-],0.895
7151180,Br[C@@]([C@@](O)(C(=O)O)C)(C(=O)O)C.Br[C@]([C@](O)(C(=O)O)C)(C(=O)O)C,3.86
4027056,[Si]1(c2sccc2c2c1c([Si](C)(C)C)sc2[Si](C)(C)C)(C)C,3.39
7151265,P(=O)(C1=C(O[C@H](C1)[C@@H](N=N#N)c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,3.13
2230621,CCOC(=O)c1ccc(cc1)OCCOc1ccc(cc1)C(=O)OCC,3.41
4025174,c12cc3c(cc2nc(s1)C)sc(C)n3,2.92
7053686,O1c2cccc3c(cccc23)OCCOCCOCCOc2cccc3c(cccc23)OCCOCCOCC1,2.9
7154683,n1c(n2nnnc2cc1)NC,3.03
4029657,N(=O)(=O)c1ccc(C(=O)O[C@H]2[C@H]([C@]3(CC[C@@]2(C3)C)C)C)cc1.N(=O)(=O)c1ccc(C(=O)O[C@@H]2[C@@H]([C@@]3(CC[C@]2(C3)C)C)C)cc1,2.67
4069722,[Fe]12345678([cH]9[cH]4[cH]7[cH]2[cH]19)[c]1([cH]5[cH]6[cH]8[cH]31)c1c(sc2c1ccc(OC)c2)C(=O)c1ccc(cc1)CN1CCOCC1,1.44
4068633,[Au](C#Cc1ccc(nc1)c1ncccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,2.87
7151610,[Se](c1c(C2=N[C@@H](CO)CO2)cccc1)C/C=C/c1ccccc1,2.73
4023858,S1/C(=N\c2ccccc2)N(S(=O)(=O)c2ccc(cc2)C)[C@@H]2[C@@H]1CCCC2.S1/C(=N\c2ccccc2)N(S(=O)(=O)c2ccc(cc2)C)[C@H]2[C@H]1CCCC2,3.5
7150671,O1C[C@H]2CCC[C@]32N(O)[C@@H]1CCC3.O1C[C@@H]2CCC[C@@]32N(O)[C@H]1CCC3,5.17
2006341,O=C([O-])[C@]([NH3+])(C)c1ccc(cc1)C(=O)O,3.26
4063464,[Ru]12345(Cl)([P](c6ccccc6)(c6ccccc6)C([P]1(c1ccccc1)c1ccccc1)C)[cH]1[cH]5[cH]4[cH]3[cH]21,2.11
2006085,CCC(=N\CC/N=C(/c1ccccc1O)CC)/c1ccccc1O,2.99
4071850,CC1CC(C)(C)N2N=C(C(C)(C)C)O[Si]32(C)[N]=1N=C(C(C)(C)C)O3,2.16
7153517,C(=O)(C[C@H]1C[C@H]([C@@H](C)[NH3+])OC(=O)N1)[O-].O,5.36
7053722,Clc1nc(nc(n1)N)n1cccn1,3.39
7151304,CC(C)(C)C(=O)N1[C@H](C(=O)NCC(=O)NC)CCC1,4.74
4105814,C1(=O)[C@H]([C@H](c2ccccc2)N1C)C=C(c1ccccc1)c1ccccc1.C1(=O)[C@@H]([C@@H](c2ccccc2)N1C)C=C(c1ccccc1)c1ccccc1,3.26
4023601,N(=C(C=C(c1ccccc1)c1ccccc1)/[C@@H]1CCCC[C@H]1OC)/Nc1ccc(N(=O)=O)cc1N(=O)=O.N(=C(C=C(c1ccccc1)c1ccccc1)/[C@H]1CCCC[C@@H]1OC)/Nc1ccc(N(=O)=O)cc1N(=O)=O,1.8
4021210,O[C@@H]1[C@@]2(CCCC1)C(=O)CCC2.O[C@H]1[C@]2(CCCC1)C(=O)CCC2,3.61
2224437,O=C1N[C@@H]([C@@H](N1)c1ccccc1)c1ccccc1,3.93
2201222,S=C(NCc1cccnc1)NCc1cccnc1,2.96
2220649,Clc1ccc(Nc2nccnc2)cc1,2.46
1505255,IC(=C1\C(C(=O)OC)(C(=O)OC)Cc2ccccc12)\c1ccccc1,2.97
4025659,c12ccccc1N1C(=O)CCCC1(C)N2,3.12
7001879,c1(C(=O)O)cc(c2cc(cc(C)n2)C(=O)O)nc(C)c1,2.73
2105143,O=C([O-])C(C)[NH3+],5.21
2218181,Clc1c(O)c(cc(Cl)c1)C=O,2.45
2102126,N#Cc1c(Br)cccc1Br,3.24
4024607,O=C(OC)C([C@@H](NC(=O)[C@@H](NC(=O)c1ccccc1)Cc1ccccc1)Cc1ccccc1)(C)C,3.74
1507611,C1(=O)C2=CCCCC2N1c1ccc(cc1)OC,2.75
2225528,c1(ccc(cc1)c1ccc(c2ccc(cc2)[SiH](C)C)cc1)[SiH](C)C,3.08
1503804,C1(=O)[C@H](CC[C@H]2c3c(CCN12)cc(cc3OC)OC)N=N#N,3.13
4025754,O=C1CCC[C@@H]2[C@]1([C@H]1CCC3(OCCO3)C(C1=CC2)(C)C)C=O.O=C1CCC[C@H]2[C@@]1([C@@H]1CCC3(OCCO3)C(C1=CC2)(C)C)C=O,3.22
4303544,O=Cc1ccc(NC=O)cc1,2.63
